Wafer_ID,Yield_Pct,Defect_Density,Temperature_C,Pressure_kPa,Process_Time_Min,Thickness_nm
W00204,93.4472,0.0792,349.7079,98.483,102.3081,498.5076
W00205,80.7324,1.0076,365.7585,109.4077,118.9762,539.3992
W00206,89.381,0.3742,352.8295,100.2308,121.3142,524.4195
W00207,96.5076,0.0303,343.6999,100.0612,114.7146,489.6177
W00208,96.0377,0.0353,342.721,98.8491,100.1999,497.4615
W00209,81.2567,0.3446,359.9517,107.3917,133.2572,533.5425
W00210,85.716,0.6453,354.0979,98.0748,118.6971,517.4181
W00211,87.8763,0.1971,353.3813,102.8103,117.2745,510.7498
W00212,69.517,0.7112,375.2835,109.2965,122.9237,545.9786
W00213,94.0236,0.0062,342.8402,96.4102,114.8559,485.687
W00214,98.3893,0.1216,348.7413,98.8013,112.4856,501.7023
W00215,65.3682,3.5822,373.9785,110.2566,130.5064,556.9799
W00216,68.3004,0.9046,367.4436,107.4459,141.1936,554.012
W00217,90.3741,0.1728,350.5912,103.842,119.6556,525.744
W00218,68.8505,1.4209,376.6965,111.4704,135.9655,556.5806
W00219,89.8272,0.5724,352.5879,102.3188,115.1901,500.4138
W00220,77.8267,0.4791,358.2136,105.5338,132.9051,544.6329
W00221,92.6801,0.3946,352.2223,101.9385,120.9947,523.2111
W00222,71.5099,0.5524,372.7312,110.9218,128.8281,550.7615
W00223,79.2309,0.3047,362.176,103.543,122.7842,541.456
W00224,97.7254,0.0062,347.1657,95.4054,113.5428,513.0093
W00225,92.7985,0.365,356.8509,103.8852,127.6568,504.1009
W00226,88.4448,0.6823,355.9615,102.8199,134.3929,509.8827
W00227,95.7289,0.0231,342.0727,95.9114,115.5997,506.0124
W00228,94.2985,0.2272,344.9656,99.8267,119.2516,497.4988
W00229,92.2477,0.1395,346.0508,98.119,107.0402,489.8198
W00230,89.3091,0.2547,350.3871,98.9099,120.1039,511.8195
W00231,74.7982,0.3371,373.2597,107.8984,127.2223,558.3958
W00232,86.0071,0.057,355.492,100.5072,116.7734,514.7853
W00233,75.5317,2.2224,365.2935,107.55,123.1292,532.688
W00234,70.1971,0.1822,374.6621,115.0392,140.5233,560.8411
W00235,86.8041,0.4198,359.1158,100.5784,121.3048,523.4759
W00236,65.5948,0.0281,372.0234,112.4576,133.598,560.8088
W00237,79.595,0.0299,362.0757,108.9107,132.9386,523.5293
W00238,74.7164,0.3382,361.4499,108.6232,121.4864,536.83
W00239,65.3373,0.063,368.9261,109.2094,134.5759,563.5933
W00240,68.205,5.4218,369.1763,109.5314,133.2663,563.8848
W00241,79.5631,0.4896,361.7024,106.9181,123.1384,529.9193
W00242,97.459,0.0324,345.5336,95.6018,113.0889,490.5463
W00243,77.913,1.6074,361.5403,107.9975,119.4175,523.1475
W00244,76.6605,0.4038,362.808,103.6956,125.3771,544.9213
W00245,96.2621,0.3126,339.5964,96.0285,110.5858,484.9195
W00246,94.1956,0.0853,343.4273,100.8473,110.6224,500.4567
W00247,68.9002,0.2243,368.6466,107.7827,137.8391,549.2475
W00248,95.6796,0.0291,355.6783,103.8954,120.618,526.8903
W00249,71.4918,0.8362,368.9774,108.3983,141.606,540.8602
W00250,85.4324,1.5695,353.4741,99.8801,120.7906,528.6872
W00251,79.1649,0.4742,359.8386,102.0468,123.4364,519.6378
W00252,78.5907,0.1698,361.5412,104.5332,126.4715,544.2842
W00253,79.6013,0.7323,361.5127,103.6283,120.3683,537.6228
W00254,79.1402,0.4701,367.4409,107.7478,124.3388,526.3074
W00255,92.9862,0.0858,352.7025,105.3848,116.3092,526.8868
W00256,79.9675,1.056,360.5715,105.6257,135.642,535.3486
W00257,90.3343,0.0694,351.921,99.6288,118.7246,515.497
W00258,66.4695,1.3718,375.4649,113.693,147.7876,559.8072
W00259,67.7729,0.7788,374.8171,115.387,132.2615,566.9928
W00260,94.8274,0.1074,342.9201,98.3576,110.6636,509.1619
W00261,87.6204,0.6792,360.4848,102.9472,120.9103,511.7603
W00262,80.2731,0.5035,362.666,110.906,138.6919,529.5228
W00263,76.22,2.6407,374.7574,111.9461,134.4393,572.0038
W00264,81.6216,0.1784,366.3074,107.4023,137.0239,539.2816
W00265,85.4917,0.0482,358.6166,98.3141,123.3584,507.346
W00266,94.9819,0.32,345.9145,92.8958,113.9853,509.8278
W00267,68.1182,1.6817,374.8447,109.4687,135.8457,552.5053
W00268,79.6471,0.0755,361.8266,105.2162,133.7326,514.7663
W00269,79.9058,0.7033,357.6462,101.9985,125.1464,541.224
W00270,85.944,1.1238,354.527,99.6005,126.6581,532.3658
W00271,86.5454,0.3587,352.0033,99.3179,121.7045,506.1244
W00272,83.1828,0.0382,365.1258,103.5053,125.8999,530.8861
W00273,79.2963,1.1565,358.0633,107.1873,126.5656,524.6645
W00274,69.1094,0.864,368.4115,109.269,136.5548,536.3681
W00275,97.1892,0.0403,347.349,94.6716,110.39,498.5617
W00276,78.928,0.0373,358.8417,111.0657,117.1746,527.8995
W00277,89.4022,0.3663,354.962,95.9396,116.1869,509.7126
W00278,62.075,0.5688,374.4819,114.9697,143.4789,557.767
W00279,78.9393,0.0758,366.4941,105.9012,139.5983,555.9091
W00280,96.3012,0.0497,335.3087,97.554,105.8149,494.7565
W00281,69.3913,0.5099,370.6778,115.1121,135.5411,549.1666
W00282,63.0699,2.6383,366.5722,110.0481,138.2357,544.9647
W00283,94.3051,0.0225,348.6186,98.649,102.2579,495.8572
W00284,101.657,0.0213,353.5625,100.4938,108.0579,484.7899
W00285,77.7459,0.1622,370.2698,101.5021,121.8564,534.6246
W00286,86.3261,1.2707,366.186,108.6214,123.5617,525.503
W00287,81.4467,1.7041,360.0855,102.6001,125.3939,545.4242
W00288,88.4496,0.193,356.1225,102.0892,124.2808,521.4924
W00289,66.7801,2.9545,363.5216,107.797,132.9866,552.1099
W00290,88.9213,0.0206,357.1324,99.9858,121.793,499.6627
W00291,94.8308,0.025,342.8051,95.3472,114.7156,495.3949
W00292,83.3969,0.1012,354.9119,102.3727,119.7186,541.6138
W00293,93.2447,0.1099,345.2112,93.1234,108.8643,485.3027
W00294,71.0559,1.7927,369.745,108.0114,141.0507,549.0641
W00295,69.6865,0.7528,373.8256,106.6699,136.3849,545.237
W00296,87.0093,0.2067,356.6265,102.2218,123.3152,516.4195
W00297,74.5273,0.4198,372.8394,111.5006,131.9203,550.8114
W00298,79.7608,2.0379,369.4916,104.3923,122.5834,544.749
W00299,93.3412,0.0377,351.8625,101.5955,134.0338,498.4926
W00300,90.7085,0.0062,343.9973,98.2875,110.2778,505.4346
W00301,89.0611,0.0176,355.4325,103.2564,117.9616,518.9637
W00302,67.7309,0.9117,371.4752,109.657,136.5827,551.8466
W00303,76.5842,0.0104,365.0255,102.9619,132.5486,515.4181
W00304,98.971,0.0221,342.8987,96.7751,108.8717,489.1389
W00305,99.9491,0.0374,341.2486,99.5804,116.2852,499.5612
W00306,92.8529,0.114,339.3092,99.7883,115.2477,496.7861
W00307,95.6906,0.0971,350.87,100.1103,108.6986,492.9149
W00308,100.9571,0.0209,340.1806,100.7484,106.6452,492.7374
W00309,95.0928,0.0923,344.1691,100.7033,109.9409,494.7317
W00310,81.8986,0.0934,363.2342,107.7533,117.9519,543.6055
W00311,87.9795,0.2091,357.0781,99.3173,114.2859,515.5189
W00312,90.0777,0.0204,348.8207,101.9421,114.4742,523.9418
W00313,97.1722,0.0333,346.0379,92.5629,103.7616,510.4172
W00314,92.7403,0.0479,340.4292,98.3823,119.5428,495.4549
W00315,69.2658,0.1075,367.3992,107.3312,135.4297,549.973
W00316,85.4272,0.0419,358.1938,100.3997,123.6281,538.0841
W00317,71.6446,0.5354,371.7688,111.164,138.5104,564.0817
W00318,68.9667,0.9695,372.9167,106.8388,129.9872,555.0326
W00319,67.6667,0.5888,378.4882,112.4015,149.737,538.4842
W00320,88.3254,0.0783,352.0406,101.8574,123.3476,521.9945
W00321,81.9525,0.3973,365.36,106.7785,128.18,550.0033
W00322,87.5417,0.0017,354.4942,98.6516,127.0201,503.496
W00323,71.8189,0.4891,374.7729,106.005,139.2034,553.1277
W00324,76.5596,0.3912,359.7409,106.9738,133.4328,529.1421
W00325,72.1387,4.1216,372.6203,108.0855,134.0066,571.2393
W00326,82.7223,0.5382,365.958,102.807,125.4326,512.4857
W00327,65.8562,3.4371,373.5694,113.8072,137.1103,550.6972
W00328,67.2868,0.4329,370.3039,109.9786,139.4713,545.3846
W00329,69.2651,5.6134,368.4878,110.2897,122.5133,553.0655
W00330,63.2328,0.5347,370.3236,112.1622,131.4555,551.2766
W00331,88.0994,0.2679,350.9041,104.5085,136.5423,525.878
W00332,70.4589,1.9089,371.3496,110.7884,137.6885,556.901
W00333,93.5696,0.1475,349.3332,104.3917,113.9979,511.7753
W00334,83.2148,0.2101,362.942,106.8184,126.7829,543.9147
W00335,76.0468,0.2243,360.7103,106.4149,121.2162,537.2176
W00336,67.462,0.0834,368.2179,113.3297,138.6187,563.0751
W00337,96.363,0.0904,350.1549,103.4286,112.1421,506.1876
W00338,87.5618,0.155,357.2225,102.9167,111.9198,523.695
W00339,71.7748,0.0356,370.2507,109.0415,131.0174,548.5672
W00340,90.283,0.4135,359.6233,102.9415,121.0647,522.4623
W00341,78.7022,0.1317,366.9357,108.1523,112.4365,537.7164
W00342,76.8434,0.5306,360.2464,103.5458,137.4696,522.4293
W00343,76.5484,1.5056,358.5898,104.2367,126.2871,542.809
W00344,97.7584,0.0572,349.9128,96.9563,113.606,495.2257
W00345,90.1979,0.2024,352.0796,102.0787,117.4063,528.0621
W00346,100.5777,0.053,338.5523,98.7319,117.5582,486.5249
W00347,66.4626,1.3851,366.2201,112.1292,133.5137,554.2947
W00348,96.5619,0.0027,342.6313,98.2858,116.8905,502.4789
W00349,64.4512,0.9575,373.3057,110.7073,137.7554,535.613
W00350,75.455,0.8563,361.4633,104.5587,129.5174,521.4513
W00351,91.0706,0.0884,357.8255,101.9896,113.5834,532.9997
W00352,68.9273,2.0049,370.6901,110.8976,145.5046,546.5858
W00353,62.8389,0.2178,373.5267,111.1487,136.561,557.3711
W00354,76.3031,0.1106,362.0497,107.8147,127.3431,513.8551
W00355,92.951,0.0117,345.0021,95.7342,116.5042,502.9333
W00356,88.5511,0.0395,352.2187,101.2738,124.0689,523.5385
W00357,86.6729,0.2153,353.5753,104.2596,111.8812,522.2101
W00358,92.1807,0.0949,348.3396,99.738,107.3962,486.8299
W00359,96.2775,0.105,340.005,98.8388,110.6353,502.8128
W00360,68.5957,0.2857,375.6335,109.52,147.1879,547.1192
W00361,71.1327,1.8631,376.6683,107.6988,144.0688,557.9935
W00362,74.4138,0.2063,372.823,103.4307,141.0203,524.3303
W00363,93.0505,0.5346,351.7175,106.2457,121.8969,514.9012
W00364,79.9934,1.4048,366.3751,107.1189,133.199,530.701
W00365,93.0802,0.1402,355.3154,102.5335,120.5506,521.9226
W00366,85.9839,0.002,353.5371,101.3814,122.531,527.8353
W00367,64.6856,0.0882,367.7927,112.3891,140.1619,559.2031
W00368,83.1422,0.8394,367.5772,110.6394,142.0194,543.6674
W00369,98.692,0.0754,346.6728,99.7556,114.2926,516.1641
W00370,65.7435,0.2939,369.4792,110.9621,134.0063,565.5745
W00371,83.1667,1.9821,362.2426,107.1097,127.5755,540.1354
W00372,80.7762,1.1299,357.7284,104.9854,123.7347,524.1379
W00373,67.6281,0.4204,379.0419,111.5801,142.7299,550.7162
W00374,96.2236,0.0059,349.9822,98.2624,111.3983,494.3932
W00375,69.8712,2.3663,368.9654,109.126,131.8377,538.5215
W00376,97.0413,0.0243,345.137,98.7528,112.5248,502.9047
W00377,64.7727,0.6611,367.9078,111.8132,132.6424,552.6507
W00378,94.7684,0.0182,348.8951,98.9732,105.05,489.0296
W00379,98.5174,0.0297,336.992,100.0855,112.3205,507.4689
W00380,70.8754,0.0679,375.2086,108.3782,128.404,554.7191
W00381,89.3991,0.3022,358.4606,106.6626,109.6212,515.4821
W00382,80.7271,0.9115,364.581,105.4602,140.4277,536.3277
W00383,67.3227,0.3809,377.086,111.3566,133.8703,552.1448
W00384,67.0565,2.3539,371.92,110.6421,139.0425,557.0961
W00385,90.1281,0.0207,343.9512,97.9634,114.9275,494.3183
W00386,63.8664,0.2366,377.9373,110.5721,135.6029,559.1832
W00387,63.814,0.3051,372.085,114.8946,131.2266,570.9246
W00388,83.064,0.0325,366.5696,106.4443,135.1237,545.7043
W00389,68.8066,2.4122,372.4447,108.1229,141.6756,559.7059
W00390,81.1001,0.2174,367.2937,104.2381,123.3308,526.2208
W00391,87.2212,0.3296,348.0247,100.8688,128.1462,536.8278
W00392,96.2753,0.1464,348.2096,101.8729,101.7254,514.6343
W00393,80.0376,0.0659,360.4636,105.6978,125.8939,536.176
W00394,88.7047,0.6354,352.498,104.1287,115.629,515.0656
W00395,93.4248,0.0695,340.0188,97.8932,105.6728,508.2488
W00396,89.3683,0.0216,348.5883,97.8679,117.2069,504.8758
W00397,75.8705,0.2297,362.8104,106.8586,131.0565,552.6378
W00398,96.9396,0.0502,346.7379,95.7309,116.1203,506.6548
W00399,79.579,0.3734,363.9148,105.234,129.8093,528.0345
W00400,97.203,0.0128,351.7317,96.6027,96.6962,497.4815
W00401,80.5382,0.1808,363.878,105.9676,122.5697,542.2014
W00402,90.075,0.3947,354.9098,102.5673,121.4797,519.3707
W00403,87.052,0.4339,350.5697,104.2323,115.1282,507.5749
W00404,80.9601,3.5187,362.3148,107.0223,136.185,537.5991
W00405,78.8544,0.0784,364.0549,105.7484,133.6804,531.1109
W00406,65.2504,0.6675,372.0837,107.0777,146.4168,552.301
W00407,92.0057,0.0088,352.0744,100.8751,118.271,527.8944
W00408,70.104,0.1771,373.0601,111.4278,147.8467,540.0694
W00409,95.3617,0.3638,345.6576,95.9663,105.3596,496.821
W00410,78.6531,0.2304,364.4219,106.9049,140.5183,536.6198
W00411,67.0426,0.9046,373.4638,101.338,138.7195,553.2523
W00412,88.4657,0.623,360.4083,108.9282,126.9247,521.698
W00413,73.321,0.5258,375.5948,106.4007,139.6004,565.981
W00414,80.5743,0.7235,362.5692,108.6807,125.4999,530.0429
